"Meshcode","Shicode","PopT","Pop0_14","Pop15_64","Pop65over","Pop75over","Pop85over"
6341401182,1205,44.3828,2.6002,25.8910,13.8148,7.8052,3.2233
6341401183,1205,33.3551,1.0847,22.5079,8.4066,4.7456,1.4915
6341401184,1205,25.0838,0.8157,16.9265,6.3219,3.5688,1.1216
6341401185,1205,28.2624,2.7528,18.9028,6.6068,2.2023,0.3670
6341401186,1205,12.9088,1.2573,8.6338,3.0176,1.0059,0.1676
6341401187,1205,34.2821,1.9631,21.1283,9.0111,3.5321,1.2326
6341401188,1205,40.7072,1.5590,24.0779,11.2594,4.6770,1.9054
6341401189,1205,21.8303,0.8361,12.9124,6.0382,2.5082,1.0218
6341401190,1205,6.2516,0.4784,3.2534,2.2008,1.2439,0.5741
6341401191,1205,27.0288,2.0685,14.0660,9.5152,5.3782,2.4822
6341401192,1205,24.3494,1.5191,13.8798,7.7894,4.4013,1.8674
6341401193,1205,36.8791,1.1993,24.8859,9.2947,5.2470,1.6491
6341401194,1205,39.4618,1.2833,26.6287,9.9457,5.6145,1.7646
6341401195,1205,39.1177,3.8102,26.1631,9.1444,3.0481,0.5080
6341401196,1205,22.3643,2.1783,14.9579,5.2280,1.7427,0.2904
6341401197,1205,42.3913,2.4748,26.1879,11.1084,4.3380,1.4972
6341401198,1205,55.0061,2.1066,32.5355,15.2145,6.3198,2.5748
6341401199,1205,37.0494,1.4189,21.9143,10.2477,4.2567,1.7342
6341401200,1205,14.4373,0.3750,8.0624,5.0624,2.6250,0.7500
6341401201,1205,6.9598,0.1808,3.8867,2.4405,1.2654,0.3615
6341401202,1205,14.3281,0.7307,7.9664,5.0067,2.6139,0.5957
6341401203,1205,7.7529,0.7911,4.2720,2.6898,1.4240,0.1582
6341401204,1205,2.9099,0.2969,1.6034,1.0096,0.5345,0.0594
6341401206,1205,0.1768,0.0307,0.0900,0.0547,0.0293,0.0080
6341401210,1205,20.3034,0.5274,11.3383,7.1194,3.6915,1.0547
6341401211,1205,8.3308,0.2164,4.6523,2.9212,1.5147,0.4328
6341401212,1205,6.6120,0.2461,3.6852,2.3149,1.2040,0.3127
6341401216,1205,0.8773,0.1523,0.4469,0.2715,0.1457,0.0397
6341401217,1205,2.8732,0.4987,1.4637,0.8891,0.4771,0.1301
6341401220,1205,15.2493,1.1911,10.7668,2.6514,1.1070,0.2619
6341401221,1205,24.7918,1.8497,17.2587,4.6047,1.9815,0.4837
6341401222,1205,27.2803,2.4150,17.1795,7.2170,3.7928,0.4680
6341401223,1205,15.1359,1.3125,9.0792,4.5431,2.4732,0.3027
6341401224,1205,11.0513,1.0041,6.4832,3.4568,1.8663,0.2223
6341401226,1205,16.1453,2.8026,8.2250,4.9959,2.6807,0.7311
6341401227,1205,26.2338,4.3351,13.7587,7.9260,3.7957,0.8931
6341401231,1205,30.9706,2.9923,23.4898,3.4412,1.0473,0.1496
6341401232,1205,25.9131,1.9276,18.6749,4.3656,2.2258,0.3383
6341401233,1205,11.3277,0.6535,7.8423,2.3962,1.4160,0.2178
6341401234,1205,14.4458,0.8334,10.0009,3.0558,1.8057,0.2778
6341401235,1205,1.2872,0.2234,0.6558,0.3983,0.2137,0.0583
6341401236,1205,45.1636,7.8397,23.0079,13.9752,7.4989,2.0451
6341401237,1205,57.6127,8.8195,31.4799,16.7922,6.5400,1.0163
6341401238,1205,39.3736,5.5123,22.4429,11.0246,3.1499,0.0000
6341401240,1205,109.2245,10.5531,82.8418,12.1361,3.6936,0.5277
6341401241,1205,5.9102,0.5710,4.4826,0.6567,0.1999,0.0286
6341401242,1205,22.6594,1.9434,16.7683,3.1521,1.3422,0.2004
6341401243,1205,29.3562,1.6936,20.3235,6.2100,3.6695,0.5645
6341401244,1205,12.0497,0.6952,8.3421,2.5490,1.5062,0.2317
6341401245,1205,45.2272,7.8508,23.0403,13.9948,7.5094,2.0480
6341401246,1205,86.4881,15.0130,44.0600,26.7624,14.3603,3.9164
6341401247,1205,42.3695,6.7577,22.6611,12.5874,5.5056,1.1137
6341401249,1205,1.1717,0.1640,0.6679,0.3281,0.0937,0.0000
6341401250,1205,39.8866,3.9482,26.4224,8.9087,3.3408,0.5062
6341401251,1205,59.4281,5.8825,39.3673,13.2733,4.9775,0.7542
6341401252,1205,54.0843,3.9726,27.3607,22.3082,12.7268,6.8165
6341401253,1205,28.4549,1.6809,11.8862,14.7677,9.1248,5.4028
6341401254,1205,32.5613,1.9235,13.6016,16.8989,10.4416,6.1825
6341401255,1205,18.6371,0.9557,6.8097,10.8716,6.3318,1.7920
6341401256,1205,32.1782,1.6502,11.7574,18.7706,10.9324,3.0941
6341401258,1205,1.1738,0.0602,0.4289,0.6847,0.3988,0.1129
6341401260,1205,102.9526,10.1907,68.1996,22.9945,8.6229,1.3065
6341401261,1205,64.2841,6.3632,42.5842,14.3579,5.3842,0.8158
6341401262,1205,49.4294,4.1247,28.0350,16.7288,8.6989,4.0367
6341401263,1205,45.2162,2.6710,18.8878,23.4666,14.4997,8.5854
6341401264,1205,33.3622,1.9708,13.9361,17.3146,10.6984,6.3346
6341401265,1205,70.9307,3.6375,25.9170,41.3763,24.0983,6.8203
6341401266,1205,15.8840,0.8146,5.8038,9.2657,5.3965,1.5273
6341401267,1205,15.4973,0.7947,5.6625,9.0401,5.2651,1.4901
6341401268,1205,0.4145,0.0213,0.1515,0.2418,0.1408,0.0399
6341401270,1205,29.5384,2.0150,19.2402,7.0306,3.2131,1.0678
6341401271,1205,49.6099,4.2107,32.6115,11.4140,4.7243,1.1632
6341401272,1205,33.4810,2.8491,20.7360,9.2799,4.4100,1.6341
6341401273,1205,60.3276,4.3707,32.7510,22.9160,13.6411,6.8288
6341401274,1205,46.8063,3.3143,24.6921,18.5782,11.1264,5.7383
6341401275,1205,20.3982,1.9452,10.9263,7.4593,4.0191,1.5905
6341401276,1205,5.5910,0.5474,3.0496,1.9744,1.0556,0.4301
6341401277,1205,0.0997,0.0051,0.0364,0.0581,0.0339,0.0096
6341401278,1205,4.9258,0.0036,0.5970,4.3252,3.1656,0.0068
6341401279,1205,0.1170,0.0002,0.0145,0.1023,0.0747,0.0003
6341401280,1205,21.0266,0.6711,13.4212,5.3685,2.9079,1.3421
6341401281,1205,20.3905,0.6508,13.0152,5.2061,2.8200,1.3015
6341401282,1205,18.7689,1.4598,11.3341,5.8489,3.3722,1.4272
6341401283,1205,74.4980,5.8764,44.9263,23.3162,13.4589,5.6869
6341401284,1205,55.6571,4.3903,33.5642,17.4194,10.0551,4.2486
6341401285,1205,53.9528,5.2821,29.4288,19.0532,10.1869,4.1502
6341401286,1205,59.8735,5.8617,32.6583,21.1441,11.3048,4.6057
6341401287,1205,33.5499,2.9721,16.9344,13.5374,7.7974,2.3352
6341401288,1205,2.1279,0.0000,0.2503,1.8776,1.3769,0.0000
6341401289,1205,3.9067,0.0000,0.4596,3.4471,2.5279,0.0000
6341401290,1205,17.8071,0.5683,11.3662,4.5465,2.4627,1.1366
6341401291,1205,0.9453,0.0302,0.6034,0.2414,0.1307,0.0603
6341401292,1205,26.3368,1.7850,16.1020,7.8838,4.4943,1.9326
6341401293,1205,90.1237,7.1090,54.3494,28.2066,16.2819,6.8797
6341401294,1205,63.0230,4.9713,38.0062,19.7248,11.3858,4.8109
6341401295,1205,40.1757,3.9333,21.9140,14.1879,7.5856,3.0904
6341401296,1205,62.4647,6.1154,34.0716,22.0592,11.7940,4.8050
6341401297,1205,14.2972,1.3997,7.7985,5.0490,2.6995,1.0998
6341401299,1205,2.8043,0.0000,0.3299,2.4744,1.8145,0.0000
6341401370,1205,2.8225,0.0000,2.5254,0.0743,0.0000,0.0000
6341401371,1205,0.9694,0.0000,0.8673,0.0255,0.0000,0.0000
6341401380,1205,6.9362,0.0000,6.2061,0.1825,0.0000,0.0000
6341401381,1205,3.3082,0.0000,2.9600,0.0871,0.0000,0.0000
6341401382,1205,10.6622,0.0000,7.5650,2.6183,0.8552,0.5345
6341401390,1205,4.4289,0.0000,3.9627,0.1166,0.0000,0.0000
6341401391,1205,13.4693,0.0000,12.0514,0.3545,0.0000,0.0000
6341401392,1205,24.8632,0.0000,11.5643,13.2989,4.6257,2.8911
6341401393,1205,13.5401,0.0000,6.2977,7.2424,2.5191,1.5744
6341402002,1205,0.0255,0.0022,0.0177,0.0050,0.0033,0.0000
6341402003,1205,0.0510,0.0044,0.0355,0.0100,0.0066,0.0000
6341402005,1205,0.3995,0.0405,0.2170,0.1300,0.0871,0.0501
6341402006,1205,0.8551,0.0868,0.4646,0.2782,0.1863,0.1072
6341402007,1205,10.5611,1.0719,5.7377,3.4363,2.3014,1.3241
6341402008,1205,39.6298,4.0221,21.5302,12.8945,8.6357,4.9685
6341402009,1205,45.1533,4.5827,24.5310,14.6917,9.8394,5.6610
6341402012,1205,0.8663,0.0753,0.6026,0.1695,0.1130,0.0000
6341402014,1205,1.4231,0.1237,0.9900,0.2784,0.1856,0.0000
6341402015,1205,0.9593,0.0974,0.5212,0.3121,0.2090,0.1203
6341402018,1205,93.5379,9.4934,50.8176,30.4347,20.3829,11.7271
6341402019,1205,49.8922,5.0637,27.1056,16.2336,10.8720,6.2551
6341402023,1205,3.6445,0.3169,2.5353,0.7130,0.4754,0.0000
6341402024,1205,29.7415,2.5862,20.6897,5.8190,3.8793,0.0000
6341402025,1205,6.6595,1.5558,3.1090,1.9324,1.0464,0.2828
6341402026,1205,3.5692,0.3623,1.9391,1.1613,0.7778,0.4475
6341402029,1205,89.2257,9.0557,48.4749,29.0317,19.4432,11.1865
6341402031,1205,3.7757,0.0000,2.3074,1.4683,0.2098,0.2098
6341402033,1205,4.3317,0.3767,3.0134,0.8475,0.5650,0.0000
6341402034,1205,1.2464,0.1084,0.8671,0.2439,0.1626,0.0000
6341402036,1205,20.4293,5.3761,9.1883,5.7671,2.9324,0.4887
6341402037,1205,105.0101,27.6342,47.2294,29.6440,15.0732,2.5122
6341402038,1205,11.1984,1.1585,5.0200,5.0200,3.4754,0.7723
6341402039,1205,0.5954,0.0616,0.2669,0.2669,0.1848,0.0411
6341402040,1205,13.6854,0.0000,8.3633,5.3221,0.7603,0.7603
6341402042,1205,0.5389,0.0000,0.3293,0.2096,0.0299,0.0299
6341402044,1205,4.6701,0.4061,3.2488,0.9137,0.6091,0.0000
6341402045,1205,76.3050,20.0803,34.3190,21.5407,10.9529,1.8255
6341402046,1205,1.8130,0.4771,0.8154,0.5118,0.2602,0.0434
6341402047,1205,0.5699,0.0590,0.2555,0.2555,0.1769,0.0393
6341402048,1205,8.7335,0.9035,3.9150,3.9150,2.7104,0.6023
6341402049,1205,7.9028,0.8175,3.5427,3.5427,2.4526,0.5450
6341402050,1205,10.7849,0.0000,3.3184,7.4664,6.6368,1.6592
6341402054,1205,6.6727,0.0000,0.3759,6.2968,6.2968,4.7931
6341402055,1205,45.8632,3.1199,25.2716,17.4717,8.4239,2.1840
6341402056,1205,31.0266,2.1107,17.0963,11.8197,5.6988,1.4775
6341402057,1205,46.0899,5.9535,23.4243,16.6233,5.9132,1.0232
6341402058,1205,112.7246,15.7054,56.4889,40.2769,13.4256,2.0265
6341402059,1205,71.1563,9.9139,35.6581,25.4244,8.4748,1.2792
6341402060,1205,1.0281,0.0000,0.3163,0.7118,0.6327,0.1582
6341402061,1205,1.1111,0.0000,0.3419,0.7692,0.6837,0.1709
6341402066,1205,19.5251,1.3282,10.7587,7.4381,3.5862,0.9298
6341402067,1205,26.7532,1.8199,14.7415,10.1917,4.9138,1.2740
