agency_id,fare_id,price,currency_type,payment_method,transfers,transfer_duration
1430001056880,0-770_00,770,JPY,0,0,
1430001056880,0-780_00,780,JPY,0,0,
1430001056880,0-790_00,790,JPY,0,0,
1430001056880,0-800_00,800,JPY,0,0,
1430001056880,0-810_00,810,JPY,0,0,
1430001056880,0-820_00,820,JPY,0,0,
1430001056880,0-830_00,830,JPY,0,0,
1430001056880,0-840_00,840,JPY,0,0,
1430001056880,0-850_00,850,JPY,0,0,
1430001056880,0-860_00,860,JPY,0,0,
1430001056880,0-870_00,870,JPY,0,0,
1430001056880,0-880_00,880,JPY,0,0,
1430001056880,0-890_00,890,JPY,0,0,
1430001056880,0-900_00,900,JPY,0,0,
1430001056880,0-910_00,910,JPY,0,0,
1430001056880,0-920_00,920,JPY,0,0,
1430001056880,0-930_00,930,JPY,0,0,
1430001056880,0-940_00,940,JPY,0,0,
1430001056880,0-950_00,950,JPY,0,0,
1430001056880,0-960_00,960,JPY,0,0,
1430001056880,0-980_00,980,JPY,0,0,
1430001056880,0-1000_00,1000,JPY,0,0,
1430001056880,0-1050_00,1050,JPY,0,0,
1430001056880,0-1100_00,1100,JPY,0,0,
1430001056880,0-1150_00,1150,JPY,0,0,
1430001056880,0-1200_00,1200,JPY,0,0,
1430001056880,0-1250_00,1250,JPY,0,0,
1430001056880,0-1300_00,1300,JPY,0,0,
1430001056880,0-1350_00,1350,JPY,0,0,
1430001056880,0-1400_00,1400,JPY,0,0,
1430001056880,0-1450_00,1450,JPY,0,0,
1430001056880,0-1500_00,1500,JPY,0,0,
1430001056880,0-1550_00,1550,JPY,0,0,
1430001056880,0-1600_00,1600,JPY,0,0,
1430001056880,0-1650_00,1650,JPY,0,0,
1430001056880,0-1700_00,1700,JPY,0,0,
1430001056880,0-1750_00,1750,JPY,0,0,
1430001056880,0-1800_00,1800,JPY,0,0,
1430001056880,0-1850_00,1850,JPY,0,0,
1430001056880,0-1900_00,1900,JPY,0,0,
1430001056880,0-1950_00,1950,JPY,0,0,
1430001056880,0-2000_00,2000,JPY,0,0,
1430001056880,0-2050_00,2050,JPY,0,0,
1430001056880,0-2100_00,2100,JPY,0,0,
1430001056880,0-2150_00,2150,JPY,0,0,
1430001056880,0-2200_00,2200,JPY,0,0,
1430001056880,0-2250_00,2250,JPY,0,0,
1430001056880,0-2300_00,2300,JPY,0,0,
1430001056880,0-2350_00,2350,JPY,0,0,
1430001056880,0-2400_00,2400,JPY,0,0,
1430001056880,0-2450_00,2450,JPY,0,0,
1430001056880,0-2500_00,2500,JPY,0,0,
1430001056880,0-2550_00,2550,JPY,0,0,
1430001056880,0-2600_00,2600,JPY,0,0,
1430001056880,0-2650_00,2650,JPY,0,0,
1430001056880,0-2700_00,2700,JPY,0,0,
1430001056880,0-2750_00,2750,JPY,0,0,
1430001056880,0-2800_00,2800,JPY,0,0,
1430001056880,0-2850_00,2850,JPY,0,0,
1430001056880,0-2900_00,2900,JPY,0,0,
1430001056880,0-2950_00,2950,JPY,0,0,
1430001056880,0-3000_00,3000,JPY,0,0,
1430001056880,0-3050_00,3050,JPY,0,0,
1430001056880,0-3100_00,3100,JPY,0,0,
1430001056880,0-3150_00,3150,JPY,0,0,
1430001056880,0-3200_00,3200,JPY,0,0,
1430001056880,0-3250_00,3250,JPY,0,0,
1430001056880,0-3300_00,3300,JPY,0,0,
1430001056880,0-3350_00,3350,JPY,0,0,
1430001056880,0-3400_00,3400,JPY,0,0,
1430001056880,0-3450_00,3450,JPY,0,0,
1430001056880,0-3500_00,3500,JPY,0,0,
1430001056880,0-3600_00,3600,JPY,0,0,
1430001056880,0-3700_00,3700,JPY,0,0,
1430001056880,0-3800_00,3800,JPY,0,0,
